location_key,location_id,zip_code,city,county,state,region,country,timezone,call_center_region,source_system,source_record_id,ingestion_id,ingested_at,processed_at,created_at,updated_at,last_modified_at,record_hash,record_status,is_active
50001,LOC001,77002,Houston,Harris,TX,South,USA,America/Chicago,Central,MDM,LOC001,ING-LOC-20261001-0001,2026-10-01T00:59:00,2026-10-01T01:01:00,2025-01-01T00:00:00,2026-10-01T01:01:00,2026-09-30T23:01:00,83234915548d06bd468a017d18921e27ab3cf268c9224e9894eab986e29ca3fa,CURRENT,True
50002,LOC002,77005,Houston,Harris,TX,South,USA,America/Chicago,Central,MDM,LOC002,ING-LOC-20261001-0002,2026-10-01T01:00:00,2026-10-01T01:02:00,2025-01-01T00:00:00,2026-10-01T01:02:00,2026-09-30T23:02:00,d8a222342602dbf0588e74384712334c91b8ae8904a2770b723e582c2509687e,CURRENT,True
50003,LOC003,77024,Houston,Harris,TX,South,USA,America/Chicago,Central,MDM,LOC003,ING-LOC-20261001-0003,2026-10-01T01:01:00,2026-10-01T01:03:00,2025-01-01T00:00:00,2026-10-01T01:03:00,2026-09-30T23:03:00,6f51cac0e8987699737d1d8465861d9f0558ebde7f7b7d78c05d160257685c5d,CURRENT,True
50004,LOC004,75201,Dallas,Dallas,TX,South,USA,America/Chicago,Central,MDM,LOC004,ING-LOC-20261001-0004,2026-10-01T01:02:00,2026-10-01T01:04:00,2025-01-01T00:00:00,2026-10-01T01:04:00,2026-09-30T23:04:00,758f606de72928efd57d0788de714a1ff5d254b020e07bd787a388cffc2070b6,CURRENT,True
50005,LOC005,78701,Austin,Travis,TX,South,USA,America/Chicago,Central,MDM,LOC005,ING-LOC-20261001-0005,2026-10-01T01:03:00,2026-10-01T01:05:00,2025-01-01T00:00:00,2026-10-01T01:05:00,2026-09-30T23:05:00,87bc4e47140d05b069372debe5ed757aac5896f780ab891fe3ef16a21aeadb70,CURRENT,True
50006,LOC006,78205,San Antonio,Bexar,TX,South,USA,America/Chicago,Central,MDM,LOC006,ING-LOC-20261001-0006,2026-10-01T01:04:00,2026-10-01T01:06:00,2025-01-01T00:00:00,2026-10-01T01:06:00,2026-09-30T23:06:00,e9b548a5a290e8a686d5b3dbb3329616f04d79d5dfba54bc58577c9125479813,CURRENT,True
50007,LOC007,85004,Phoenix,Maricopa,AZ,Southwest,USA,America/Phoenix,Southwest,MDM,LOC007,ING-LOC-20261001-0007,2026-10-01T01:05:00,2026-10-01T01:07:00,2025-01-01T00:00:00,2026-10-01T01:07:00,2026-09-30T23:07:00,d2e7f3c5ab4e1b710ee6ab8b2ea631010d2ccdb2565a8151d48ea43a0340cad8,CURRENT,True
50008,LOC008,30303,Atlanta,Fulton,GA,Southeast,USA,America/New_York,East,MDM,LOC008,ING-LOC-20261001-0008,2026-10-01T01:06:00,2026-10-01T01:08:00,2025-01-01T00:00:00,2026-10-01T01:08:00,2026-09-30T23:08:00,de76b0e1f84a4ccf8d114f7431c33be27ddfb26e12f7ce7c0c5d5d6cac67988e,CURRENT,True
50009,LOC009,60601,Chicago,Cook,IL,Midwest,USA,America/Chicago,Central,MDM,LOC009,ING-LOC-20261001-0009,2026-10-01T01:07:00,2026-10-01T01:09:00,2025-01-01T00:00:00,2026-10-01T01:09:00,2026-09-30T23:09:00,fcd0f2b80e9c6ad403f13e539d98b5e1feb11e5a4ccf49dd3f1863b170f8e32d,CURRENT,True
50010,LOC010,32801,Orlando,Orange,FL,Southeast,USA,America/New_York,East,MDM,LOC010,ING-LOC-20261001-0010,2026-10-01T01:08:00,2026-10-01T01:10:00,2025-01-01T00:00:00,2026-10-01T01:10:00,2026-09-30T23:10:00,8b4d298b2b7e6175bf505f78f08aa165580f8199e1070e5425b5c34cb236709b,CURRENT,True
